Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Francia,FRA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1303,1395,1548,1718,1884,2015,2165,2321,2513,2724,2825,3128,3807,4914,5267,6607,6795,7465,9167,11063,12565,10956,10360,9862,9312,9657,13430,16176,17550,17547,21586,21501,23615,22239,23360,26792,26758,24169,24869,24576,22341,22332,24145,29480,33645,34696,36432,41486,45465,41728,40695,43930,40864,42669,43148,36702,37024,38687,41418,40408,39170,43725,41083,44691
Malta,MLT,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,828,874,976,1144,1245,1560,1727,2038,2559,3196,3948,3898,3788,3527,3333,3322,4195,5084,5814,6041,7192,7559,8220,7296,8000,9828,10062,9893,10408,10609,10348,10358,11251,13594,15212,15831,16654,19444,22315,21176,21947,23517,22878,25347,27357,25482,26410,30259,33332,32412,31797,38027,36142,40396
Italia,ITA,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,837,923,1030,1171,1272,1357,1459,1595,1718,1886,2112,2311,2677,3213,3629,4116,4042,4614,5623,7006,8476,7640,7574,7851,7758,8009,11341,14268,15781,16424,20874,22007,23297,18782,19382,20712,23123,21884,22365,22050,20190,20571,22464,27619,31426,32172,33685,38032,41095,37388,36185,38851,35236,35748,35751,30387,31126,32554,34746,33813,32091,36853,35636,39003
Puerto Rico,PRI,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,718,777,855,932,1006,1111,1208,1335,1481,1662,1852,2044,2246,2432,2615,2738,2946,3209,3568,4025,4503,4921,5115,5218,5730,6008,6455,6980,7595,8033,8653,9064,9659,10212,10876,11579,12173,12818,14304,15221,16192,18123,18731,19557,20989,21959,22936,23665,24898,25769,26436,27279,27945,28513,28981,29763,30627,31109,31615,32917,31427,32619,35268,36779
Chipre,CYP,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,976,1157,1476,1929,2559,4232,4033,4123,4091,4259,4488,5643,6691,7646,8039,9642,9696,11310,10526,11618,15261,15139,14234,15093,15288,14388,14821,16093,20252,23793,24959,26729,31245,35397,32236,31105,32486,28992,27797,27244,23487,24715,26697,29600,29703,28649,33734,33939,36551
Bahamas,BHS,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,1459,1555,1651,1759,1883,2030,2239,2453,2668,3027,2916,3004,3014,3341,3080,2841,2993,3253,3720,4994,5743,6029,6559,7081,8202,9167,9601,10361,10576,11291,11473,11082,10873,10613,10991,11375,11784,20368,21667,24041,24940,25372,26782,26429,26650,28602,29185,30052,29392,27513,27473,27091,28552,27433,28706,30289,30267,31337,32124,32980,25156,28682,33044,35897
Aruba,ABW,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6768,8244,10056,11507,12188,13234,13893,14701,16055,16549,16621,17750,18828,19216,20681,20740,21307,21949,23701,24172,24846,26736,28172,25135,24093,25712,25120,25814,26130,27458,27442,28440,30082,31096,22856,27200,30560,33985
Japón,JPN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,509,609,685,776,903,994,1144,1326,1553,1803,2101,2321,3031,4061,4448,4776,5310,6473,9012,9301,9669,10583,9780,10652,11207,11809,17452,21142,25500,25266,25801,29428,31993,36345,39934,44198,39150,35638,32424,36610,39169,34406,32821,35387,38299,37813,35992,35779,39876,41309,44968,48760,49145,40899,38475,34961,39375,38834,39751,40416,40041,40059,34017,33767
Kuwait,KWT,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,4748,4445,4379,4024,4176,3887,3872,3695,3552,4486,4836,5532,12527,10882,11141,11238,11567,17386,19032,15825,12979,11965,11919,11322,9077,10896,9692,10965,10938,8147,12146,14318,14930,16168,18201,16977,14067,15854,19296,17374,18513,22691,27552,36123,42947,45709,55585,37907,39212,49170,52155,49651,44369,29882,27324,29048,32068,31708,25236,34044,40077,33730
España,ESP,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,408,463,535,627,695,797,916,997,978,1109,1211,1361,1708,2246,2748,3208,3277,3625,4353,5766,6204,5367,5156,4475,4487,4696,6509,8234,9696,10674,13795,14801,16101,13330,13406,15461,16101,14722,15382,15708,14743,15368,17111,21522,24925,26451,28422,32652,35603,32280,30659,31825,28456,29219,29695,25970,26741,28368,30592,29776,27230,30818,30287,33509
"Corea, República de",KOR,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,158,94,106,146,124,109,133,161,198,243,279,301,324,407,563,617,834,1056,1406,1784,1715,1883,1993,2199,2413,2482,2835,3555,4749,5817,6610,7637,8127,8885,10385,12565,13403,12398,8282,10672,12257,11561,13165,14673,16496,19403,21743,24086,21350,19144,23079,25098,25459,27180,29253,28737,29280,31601,33447,31902,31721,35126,32395,33121
Brunei Darussalam,BRN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,1029,1146,1149,1274,1226,1325,1432,1905,2939,15195,15793,18671,21747,23447,33501,58005,48793,45075,38720,36061,31827,18501,21030,18825,20090,23659,23932,23451,22397,22767,26443,25692,25522,17769,19752,20130,18288,18621,20678,24423,29386,34675,36217,42157,30946,34938,46383,46969,44003,41027,30625,26663,28024,30988,30427,26834,31007,36633,32963
Eslovenia,SVN,PIB per cápita (US$ a precios actuales),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9925,7229,7151,7255,8244,10738,10797,10437,11132,11401,10136,10376,11639,14712,17104,17970,19563,23725,27462,24502,23330,24941,22442,23237,24013,20697,21448,23303,25888,25814,25392,29187,28374,32610
